Tweet,Sentimen
yth kapolri densus bnpt stop mendiscredit islam dgn isis teroris radikal intoleransi karena bukan akhlaq muslim di nkri teroris isis akhlaq radikal maupun intoleransi semua fitnah negara phobia islam,Negatif
indahnya toleransi indonesia cc yth bapak menkopolhukam bapak kapolri bapak presiden saya percaya indonesia akan baik saja,Positif
tuan presdent panglima tni tni kapolri lihatlah anak bangsamu menjadi korban keganasan opm,Negatif
terima kasih atas kerja keras kekompakan dan loyalitas tanpa batas sehingga kegiatan berjalan aman dan lancar listyosigitprabowo humas poldajateng divisihumaspolri polresklaten fyp klaten polisi fyp polresklatenhadir viral klatenhariini klaten,Positif
calon kapolri  thn kedepan,Positif
teroris itu fakta ada korbannya khususnya natal bahwa dalam perjalanannya ada sesuatu jangan dong pimred serra merta menggampangkan tanya pak kapolri polri kalo mmg ada oknum yg terkait narkoba pisahkan dulu dong,Negatif
maaf bapak kapolri apakah sptl itu baru muncul setelah adanya sphp kalau di mintai sptl tidak mau memberikan saksinya apa dari internal polri mohon jawabannya terimakasih atas perhatiannya,Positif
laporan hasil pemeriksaan div propam polri terkait kasus suap tambang ilegal ke sejumlah perwira tinggi di polda kalimantan timur dan mabes polri sudah pernah diserahkan ke kapolri april lalu kok sampai sekarang belum jelas tindaklanjutnya ya,Negatif
tak hanya tni polri kapolri sebut densus  antiteror ikut amankan pernikahan kaesang dan erina,Positif
justru yg ga tegas adl kapolri amp penegak hukum coba klo itu pelakunya orang awam pasti sdh di dor mati selesai tp ini plakunya jenderal berbintang kaya raya pny anggota bawah smp atas jd berkelit jgn mengkaburkan pasal yg sdh jelas mentang pny duit bnyk amp berpangkat tinggi,Negatif
selamat nggih pak kapolri,Positif
pernikahan kaesang erina lancar kapolri terima kasih warga solo,Positif
polri tni kapolri lembek anak buah pasti lembek,Negatif
kapolri listyo sigit bersyukur rangkaian pernikahan kaesang erina berjalan aman temponasional,Positif
tv eliezer dan kapolri jg dibohongi,Negatif
bong jika bukan anak presiden apa kapolri panliima tni bin dan menteri serta pejabat tingkat daerah mau sibuk dan yg jelas mereka mereka melekat oasilitas negara,Negatif
mosok kayak gini aja mesti ngetag aku kapolri sih,Negatif
marwan batubara dua tahun tragedi km  rakyat menuntut tanggungjawab kapolri sigit dan presiden jokowi tumbangkanpenguasakemaruk tumbangkanpenguasakemaruk,Negatif
pernikahan kaesang erina berjalan lancar kapolri ucapkan terima kasih ke panglima tni,Positif
beliau adalah panglima tertinggi tni polri dan lambang negara mohon segera diusut dan ditangkap pak cc polri pak kapolri,Positif
bersyukur tasyakuran pernikahan kaesang erina lancar kapolri tetap evaluasi,Positif
kapolri bersyukur,Positif
apresiasi dukungan warga kapolri seluruh rangkaian pernikahan kaesang berjalan aman dan lancar,Positif
selluhijau polri emng sok kenal deket sma kapolri,Negatif
kapolri jenderal sigit mengapresiasi dukungan warga terhadap seluruh rangkaian pernikahan kaesang dan erina mulai dari diy hingga solo jawa tengah,Positif
perlu di atensi anggota polisi seperti ini bapak kapolri polri,Negatif
cuma ingin memberitahu dan membenarkan saja tidak lebih tidak ada tindakan juga kalau benar apa yang dikatakan sambo apakah kapolri juga sama hei aku bertanya apakah anda termasuk yang punya kekayaan tidak wajar,Negatif
orang paling bernyali se indonesia berani petantang petenteng di hadapan presiden petinggi negara walikota dsb membuat ciut nyali danpaspampres kapolri amp panglima tni untuk mengusirnya,Negatif
tolong pecat dengan tidak hormat anak buah anda kapolri karena sangat banyak maling di instansi anda masak kami yg gaji kalian kalian buat gini  polisi dia aceh pemakai narkoba ri ri polri tni usut ya,Negatif
polri siapkan penjemputan wni korban penyekapan di kamboja bravo polri presisi polri fyp bandung  wni korban penyekapan perusahaan online scam di kamboja sudah dibebaskan otoritas setempat kapolri juga sudah siapkan penjemputan,Positif
polri siap mendukung kapolri menuntaskan radikalisme di indonesia,Positif
alhamdulillah hari ini bisa menghadiri acara kaesang dan bertemu pak mensetneg dan pak kapolri,Positif
gk trimo ngundang presiden mentri kapolri panglima tni yo di undang jane gawe dukun endi yo,Negatif
menurut saya itu kritik yg cerdas amp berani bahkan lebih berani dari dpr mari kita instrospeksi bener gak kritikan itu saya dengar kapolri mengeluarkan larangan gaya hidup hedonisme utk polisi tujuannya sama cara ngomongnya beda,Negatif
pak kapolri pak polri tlg akun seperti ini yg jelas menyebarkan hoax fitnah dan kebencian diawasi jgn narasi kebohongan seperti ini dibiarkan,Positif
abimanyu baru ini menemukan aparat kepolisian menjelaskan sebuah pandangan satu kasus dengan alur akademik dengan genuine macam ini semoga sukses mas semoga jadi kapolri satu saat nanti,Positif
pengurusan izin keramaian warga jagakarsa saat ini bisa melalui bhabinkamtibmas tanpa hrs dtang kekantor polsek jgkrs sesuai dengan juklap kapolri no pol juklap  xii  tahun  tentang perijinan amp pemberitahuan kegiatan masyarakat pelayanan tdk dipungut biaya,Positif
kelakuan oknom berseragam yg kalo dibiarkan akan dibungkam ayo bersuara jangan mau diintimidasi poldajatim kapolri,Negatif
jgn suka bawa bawa nama rakyat kami setuju kinerja kapolri dlm bertugas,Positif
ketua kpk jaksa agung dan kapolri bukan orang orang bodoh seperti kamu yg nggak paham situasi dan kondisi politik yg berkembang saat ini bro,Positif
sudah keterlaluan kamaruddin dalam berbicara ini menuduh semua anggota polri mengabdi kepada mafia ,Negatif
setidaknya muka bapak kapolri ini agak lebih rileks ngurusin ini dibanding yg kemarin kemarin,Positif
assalamualaikum pak kapolri saya mohon bantuan untuk mama saya yg berada di malaysia untuk bisa pulang sejak  mama saya kerja disana dan blm pulang pak sampe bapak saya meninggal mama saya gak pulang tolong pak mohon bantuannya terimakasih pak,Positif
stop jangan sebar foto dan video bom bunuh diri menebar teror ketakutan dan ketidak stabilan negara poldasumsel kapoldasumsel polri palembang listyosigitprabowo polresbanyuasin polsekbetung humaspolri,Positif
